company,job,required_experience,location,key_skills,description
WBC Software Lab,Python Developer,2 - 5 yrs,Chennai,"python,  git ,  rest api ,  linux ,  mobile ,  mongodb ,  docker","Job Description
JOB TITLE : Python Developer Duties and Responsibilities : A minimum of 2-5 years work experience in software development using Python Flask and Angular
Solid understanding and experience in developing REST API using Python Flask
Proficiency in developing web applications using Flask and AngularExperience in MongoDB
Experience in MongoDB
Experience in Pymongo and MongoEngine
Good Working knowledge in Git
Experience with Docker, Nginx, Linux is a huge plus
Excellent Communication skills
Good problem-solving skills
Job Function: IT Software : Software Products & Services
Industry: IT-Hardware/Networking,  Telecom
Specialization: Software Engineer
Qualification: Any Graduate
Employment Type: Full Time
"
NuageBiz.Tech,Python Developer,2 - 5 yrs,Noida/Greater Noida,"python,  mobile ,  team player ,  svn ,  security ,  git ,  software engineering","Job Description
This is an opportunity for a dynamic professional with 2-4 years of IT experience including 2 years in Python Language. We want you to be a self-driven go-getter, with a strong appetite for learning and an analytical mind. You must have an eye for detail, should be able to think outside the box, and be willing to walk the extra mile to make it happen.
This role offers immense growth opportunities, as well as a unique opportunity of working with a like-minded team where you can see your work and contributions being applied!
The individual should exhibit the following:
Strong- interpersonal skills,
Be highly motivated, results oriented,
Have excellent communication and presentation skills, and
Be a strong team player.
Responsibilities:
In this role, you will be part of an analytical product development team. Your primary focus will be writing high-performance and responsive application code. You will also be responsible for integrating the front-end elements into the application; therefore, understanding front-end technologies is necessary as well.
Writing reusable, testable, and efficient code
Design and implementation of low-latency, high-availability, and performing applications.
Integration of user-facing elements
Implementation of security and data protection
Requirements:
In-depth knowledge of Flask framework.
Able to integrate multiple data sources and databases into one system
Knowledge of user authentication and authorization between multiple systems, servers, and environments
Knowledge of fundamental design principles behind a scalable application
Familiarity with event-driven programming in Python with Flask and Fast APIs
Understanding of the differences between multiple delivery platforms, such as mobile vs desktop, and optimizing output to match the specific platform
Understanding of code versioning tools such as Git, Mercurial or SVN.
Excellent time management and multitasking skills.
Job Function: IT Software : Software Products & Services
Industry: IT-Hardware/Networking,  Telecom
Specialization: Software Engineer
Qualification: Any Graduate
Employment Type: Full Time
"
pegasus knowledge solutions india pvt ltd.,Python Developer,0 - 3 yrs,Bengaluru / Bangalore,"python,  css ,  django ,  java ,  html ,  bootstrap ,  api ,  jquery ,  sql","Job Description
Python Developer
Primary skill:  Strong Python skills along with web frameworks such as Django/Flask
HTML/CSS, knowledge in JS based frameworks such as JQuery/React/Angular/Bootstrap etc.
Sound knowledge in API development and usage
Knowledge in SQL
Knowledge in cloud native application development
Knowledge in Java advantageous but not mandatory
Ability to take work independently as well as part of team
Job Function: IT Software : Software Products & Services
Industry: IT-Hardware/Networking,  Telecom
Specialization: Software Engineer
Qualification: Any Graduate
Employment Type: Full Time
"
gammastack indore,Python Developer,0 - 3 yrs,Indore,"python,  database ,  django ,  rest api ,  oops ,  machine learning ,  artificial intelligence","Job Description
Youre Awesome at: Candidates should have experience in any one of python web frameworks like django, flask, bottle etc
Candidates should have experience in rest api frameworks
Candidates should have experience in writing test cases for python applications.
Candidates should have a basic understanding of oops and database concepts
Good communication skills.
Leading capabilities as per the exp.
Additional Brownie points: Experience with analytics, Datascience, Machine learning, artificial intelligence is plus.
Any front-end frameworks like Angular or ReactJS or VueJS experience is plus.
Job Function: IT Software : Software Products & Services
Industry: IT-Hardware/Networking,  Telecom
Specialization: Software Engineer
Qualification: Any Graduate
Employment Type: Full Time
"
Techasoft Pvt Ltd,Python Developer,0 - 3 yrs,Bengaluru / Bangalore,"python,  javascript ,  docker ,  django ,  postgresql ,  oops ,  mysql ,  mongodb ,  opencv","Job Description
- Troubleshoot, test and maintain the core product software and databases to ensure strong optimization and functionality
- Contribute in all phases of the development lifecycle
- Follow industry best practices
- Develop and deploy new features to facilitate related procedures and tools if necessary.
Requirements:
- Must have experience in building web applications in Python/Django
- Knows best practices for front- end development
- Strong knowledge of Javascript APIs.
- Able to handle multiple databases in Django.
- Knows how to do multiple environments (production/ staging) setup in Django.
- Knows how to set up/deploy Django apps in AWS.
- Web frameworks and RESTful APIs
- Object-relational mapping, OOPS
- Knowledge of MongoDB, PostgreSQL ,MySQL
- Familiar with Docker/Docker- compose
- Creating predictive models
- Ability to integrate databases and various data sources into a unified system
- AI, ML, Deep Learning, Neural networking
- Data visualization, statistics, data analytics
- Libraries like Selenium, Tensorflow, Scikit-learn, pandas, numpy, openCV etc
Job Function: IT Software : Software Products & Services
Industry: IT-Hardware/Networking,  Telecom
Specialization: Software Engineer
Qualification: Any Graduate
Employment Type: Full Time
"
Fluper Limited,Python Developer,2 - 7 yrs,Noida/Greater Noida,"c# , python,  virtual reality ,  mobile ,  augmented reality ,  opencv","Job Description
Job Responsibilities Hands-on exposure to devices such as Microsoft HoloLens, HTC Vive, Oculus, Samsung Gear VR along with mobile based AR/VR solutions
Strong proficiency with Opencv
Knowledge of various AR/VR SDKs, C#
Having working experience on Virtual Reality and Augmented Reality Projects
Job Function: IT Software : Software Products & Services
Industry: IT-Hardware/Networking,  Telecom
Specialization: Software Engineer
Qualification: Any Graduate
Employment Type: Full Time
"
AxisTechnolabs,Python developer,1 - 4 yrs,Ahmedabad,"python,  django ,  html5 ,  team player ,  angularjs ,  javascript","Job Description
Job Description :
Responsibilities : - Having strong knowledge in Python framework (Django, Flask or Pyramid) - Having strong knowledge in javaScript/HTML5/CSS3 - SASS and LESS - Basic knowledge about ReactJs, AngularJS , NodeJS - Ability to work with object-relational mapping - Should be motivated self starter and a very good team player - Strong skill in problem-solving in application - Write effective, scalable code - Good client communication skills
Job Function: IT Software : Software Products & Services
Industry: IT-Hardware/Networking,  Telecom
Specialization: Software Engineer
Qualification: MCA/ PGDCA BCA (Computer Application)
Employment Type: Full Time
"
Wing Global IT Services,Python Developer,2 - 5 yrs,Panchkula,"spring boot , python,  java ,  django ,  jpa ,  hibernate","Job Description
Candidates should be completed Graduation at least.
Strong skills in java coding with spring boot & hibernate/JPA.
Good knowledge of Django framework.
Server knowledge will be an adding skill.
Candidate should be excellent in Python coding with deadlines.
We are looking for at least 2 years experience for this job.
We are looking for a candidate who can work in a long run.
Job Function: IT Software : Software Products & Services
Industry: IT-Hardware/Networking,  Telecom
Specialization: Software Engineer
Qualification: Any Graduate
Employment Type: Full Time
"
Cybage Software Pvt Ltd,Python Developer,4 - 7 yrs,"Gandhinagar,  Hyderabad/Secunderabad,  Pune","python,  html5 ,  javascript ,  nosql ,  docker ,  django ,  software developer ,  mongodb","Job Description
Experience: 4  Years
The key aspects of this role include:
Design, build, and maintain scalable applications using Python.
Contribute to the entire implementation process including driving the definition of improvements based on business need and architectural improvements.
Act as a subject matter expert for Application Software developers and Engineers.
Handle server-side code for a production platform and contribute to new features
To be the right fit, you'll need:
More than 4  years of experience as a software developer in Python, with knowledge of at least one Python web framework such as Django, Flask, etc.
Good understanding of common design patterns and architecture principles to design reliable and Scalable applications
Strong communication skills
Knowledge of databases line NoSQL or MongoDB
Good to have AWS and Docker or Web services
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3
Job Function: IT Software : Software Products & Services
Industry: Software Services,  Internet/Dot com/ISP
Specialization: Software Engineer
Qualification: Any Graduate
Employment Type: Full Time
"
art technology and software india pvt ltd,Python Developer,2 - 3 yrs,Cochin/ Kochi/ Ernakulam,"rest , python,  database ,  django ,  api","Job Description
Responsibilities In-depth knowledge of Python and Django framework 2  yr experience - Must Have
API design based on REST
Build scalable and performance application with large dataset
Experienced at Database design/model - Must Have
Develop back-end core architecture concepts.
Test-driven development (TDD): Unit, behavioral, and functional testing / Agile Development - sprints
Worked seamlessly with development team in US
Understanding of AWS services.
Quick learner to work on new projects / technology
Skill Set Back-end: Python with Django framework (REST or GraphQL)
Database: Postgres.
Job Function: IT Software : Software Products & Services
Industry: IT-Hardware/Networking,  Telecom
Specialization: Software Engineer
Qualification: Any Graduate
Employment Type: Full Time
"
Root Info Solutions,Python Developer,2 - 3 yrs,"Delhi,  Delhi/NCR","python 2 , python 3 ,   django ,   javascript ,   html ,   postgresql  /  mysql ,   rest api ,   celery rabbitmq ,   redis.  ,  css ,  oop","Job Description
New Delhi, India
Python Developer
Job Role :- Python Developer
Key Skills :- Python 2, Python 3, Django, Javascript, HTML, PostgreSQL/MYSQL,REST API, Celery RabbitMQ, Redis.
Job Description :-
1. Job Requirement :
Minimum 2 years of working experience in Python and Python Frameworks(Django or flask).
Experience with creating RESTful endpoints using the Django REST framework.
Knowledge of object-relational mapping (ORM).
Should have experience with databases like Postgres, MySql.
Proven experience in effective team management.
Basic coding skills (Python).
Strong understanding of OOP Concepts, Data Structure and Design Patterns.
Good Communication skills.
Ability to work independently in a fast paced and agile development environment.
Improve functionality of existing systems.
2. Professional Attributes :
2 - 3 years of experience in Python.
Experience with Python, JavaScript, HTML/CSS, Rest APIs .
Job Function: IT Software : Software Products & Services
Industry: IT-Hardware/Networking,  Telecom
Specialization: Software Engineer
Qualification: BE/ B.Tech (Engineering)
Employment Type: Full Time
"
CONNECTING 2 WORK,Python Developer,0 - 3 yrs,Thiruvananthapuram,"security compliance , python,  html5 ,  mobile ,  javascript ,  database ,  django ,  debugging","Job Description
Job Description Job description
Expert in Python, with knowledge of at least one Python web framework Django
Familiarity with some ORM (Object Relational Mapper) libraries  Able to integrate multiple data sources and databases into one system
Understanding of the threading limitations of Python, and multi-process architecture
Good understanding of server-side templating languages
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3
Understanding of accessibility and security compliance
Knowledge of user authentication and authorization between multiple systems, servers, and environments
Understanding of fundamental design principles behind a scalable application
Familiarity with event-driven programming in Python
Understanding of the differences between multiple delivery platforms, such as mobile vs desktop, and optimizing output to match the specific platform
Able to create database schemas that represent and support business processes
Strong unit test and debugging skills
Proficient understanding of code versioning tools
Job Function: IT Software : Software Products & Services
Industry: Consulting Services
Specialization: Software Engineer
Qualification: Any Graduate
Employment Type: Full Time
"
RAYVAT Outsourcing,Python Developer,0 - 2 yrs,Gandhinagar,"python,  html5 ,  svn ,  machine learning ,  javascript ,  security ,  database ,  django ,  git ,  mysql ,  big data ,  mongodb","Job Description
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education : Any Graduate
Responsibilities
Write effective, scalable code
Develop back-end components to improve responsiveness and overall performance
Integrate user-facing elements into applications
Test and debug programs
Implement security and data protection solutions
Assess and prioritize feature requests
Coordinate with internal teams to understand user requirements and provide technical solutions.
Requirements
0-2 year Work experience as a Python Developer
Expertise in at least one popular Python framework (like Django, Flask or Pyramid)
Expertise in at least one popular database (MySQL, MongoDB, SQLite)
knowledge on Pandas and Numpy in Python
Design and develop AI models to meet project requirements
Convert AI/ML models into APIs that other developers can use
Perform statistical analysis on big data sets
Knowledge of object-relational mapping (ORM)
Able to integrate multiple data sources and databases into one system
Familiarity with front-end technologies (like JavaScript and HTML5)
Familiarity with code versioning tools such as Git, SVN
Advanced knowledge of statistical and algorithmic models as well as of fundamental mathematical concepts, such as linear algebra and probability
Work with other machine learning engineers, data engineers, and AI engineers to develop machine learning models
Team spirit
Good problem-solving skills
Job Function: IT Software : Software Products & Services
Industry: Consulting Services
Specialization: Software Engineer
Qualification: Any Graduate
Employment Type: Full Time
"
